timestamp,fish_id,x_coordinate,y_coordinate
1765305151.7056158,5,388,197
1765305151.7056158,2,269,447
1765305151.7056158,8,258,516
1765305151.7056158,9,646,579
1765305151.7056158,23,326,155
1765305151.7056158,16,1053,671
1765305151.7056158,10,325,192
1765305151.7056158,24,366,174
1765305151.7056158,12,421,385
1765305151.7604997,3,343,355
1765305151.7604997,1,527,389
1765305151.7604997,7,673,537
1765305151.7604997,4,368,487
1765305151.7604997,5,388,197
1765305151.7604997,2,269,449
1765305151.7604997,22,397,411
1765305151.7604997,8,258,517
1765305151.7604997,6,334,304
1765305151.7604997,9,646,579
1765305151.7604997,23,326,155
1765305151.7604997,16,1052,671
1765305151.7604997,10,325,191
1765305151.7604997,24,367,173
1765305151.7604997,12,423,388
1765305151.8160846,3,344,354
1765305151.8160846,1,528,389
1765305151.8160846,7,675,538
1765305151.8160846,4,368,487
1765305151.8160846,22,398,415
1765305151.8160846,5,388,197
1765305151.8160846,2,269,452
1765305151.8160846,8,258,517
1765305151.8160846,9,645,579
1765305151.8160846,12,432,390
1765305151.8160846,23,326,155
1765305151.8160846,10,325,191
1765305151.8160846,16,1052,671
1765305151.8160846,6,337,303
1765305151.8160846,24,367,173
1765305151.8922043,3,343,354
1765305151.8922043,1,531,390
1765305151.8922043,7,676,537
1765305151.8922043,5,385,197
1765305151.8922043,9,646,579
1765305151.8922043,2,270,453
1765305151.8922043,4,362,487
1765305151.8922043,12,430,393
1765305151.8922043,22,397,414
1765305151.8922043,8,259,517
1765305151.8922043,6,327,305
1765305151.8922043,23,326,156
1765305151.8922043,27,318,273
1765305151.8922043,10,325,185
1765305151.8922043,24,367,173
1765305151.8922043,16,1045,670
1765305151.9663625,1,532,391
1765305151.9663625,3,343,353
1765305151.9663625,7,677,537
1765305151.9663625,5,385,197
1765305151.9663625,9,646,579
1765305151.9663625,2,270,455
1765305151.9663625,12,433,400
1765305151.9663625,4,362,487
1765305151.9663625,22,397,415
1765305151.9663625,27,324,274
1765305151.9663625,23,326,156
1765305151.9663625,10,325,184
1765305151.9663625,8,259,517
1765305151.9663625,24,366,173
1765305151.9663625,6,328,302
1765305151.9663625,16,1044,670
1765305152.0305367,1,534,391
1765305152.0305367,7,676,538
1765305152.0305367,3,342,352
1765305152.0305367,9,647,580
1765305152.0305367,12,435,402
1765305152.0305367,5,385,197
1765305152.0305367,22,397,418
1765305152.0305367,4,362,487
1765305152.0305367,2,271,456
1765305152.0305367,27,325,274
1765305152.0305367,23,327,158
1765305152.0305367,10,325,184
1765305152.0305367,30,330,238
1765305152.0305367,16,1051,670
1765305152.0305367,24,366,173
1765305152.0930343,1,536,392
1765305152.0930343,9,647,581
1765305152.0930343,7,676,537
1765305152.0930343,3,344,350
1765305152.0930343,22,401,422
1765305152.0930343,5,386,195
1765305152.0930343,2,270,456
1765305152.0930343,12,440,408
1765305152.0930343,4,362,488
1765305152.0930343,27,324,274
1765305152.0930343,31,369,270
1765305152.0930343,23,331,159
1765305152.0930343,30,332,239
